קומות במבנה,"מחיר למ""ר",שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
3,"20,214 ₪",1970,26/03/2025,דרך הים 160,10747-39-1,דירה בבית קומות,4,ראשונה,84.1,"1,700,000 ₪"
0,"14,815 ₪",0,26/03/2025,ללא כתובת,10861-361-5,דירה בבית קומות,3,ראשונה,54,"800,000 ₪"
1,"26,735 ₪",2023,26/03/2025,אמציהו המלך 4,10751-18-2,דירה בבית קומות,4,עשרים ושלוש,98,"2,620,000 ₪"
8,"17,045 ₪",2004,26/03/2025,דב פרומר 28,12693-19-12,דירה בבית קומות,4,שלישית,88.96,"1,500,000 ₪"
1,"5,963 ₪",1979,26/03/2025,הראשונים 60,11581-72-7,דירה בבית קומות,4,שניה שלישית ורביעית,109.83,"650,000 ₪"
3,"18,208 ₪",2012,26/03/2025,חומה ומגדל 62,11539-2-3,דירה בבית קומות,4,ראשונה,106.6,"1,930,000 ₪"
8,"19,344 ₪",1970,25/03/2025,כברי 6,11572-239-7,דירה בבית קומות,3,שניה,61.3,"1,180,000 ₪"
8,"20,741 ₪",2015,25/03/2025,נווה גנים 4,10925-216-9,דירה בבית קומות,3,קומה 3,54,"1,120,000 ₪"
8,"24,118 ₪",1980,25/03/2025,פרויד 42,10794-178-28,דירה בבית קומות,4,קומה 7,85.3,"2,050,000 ₪"
6,"14,254 ₪",1998,25/03/2025,נורית 32,11189-235-4,דירה בבית קומות,5,"קומה 2, קומה 3",126.98,"1,796,000 ₪"
2,"15,682 ₪",1960,25/03/2025,הגליל 65,10882-5-6,דירה בבית קומות,3,שניה,88.1,"1,380,000 ₪"
7,"14,634 ₪",1960,25/03/2025,ברנר 5,11194-287-18,דירה בבית קומות,2,רביעית,41.02,"600,000 ₪"
4,"21,979 ₪",1960,25/03/2025,חביבה 24,11194-280-43,דירה בבית קומות,2,שניה,48.6,"1,055,000 ₪"
3,"23,214 ₪",2016,24/03/2025,דיזרעאלי 35,10781-54-9,דירה בבית קומות,4,קומה 2,98.59,"2,275,000 ₪"
1,"16,463 ₪",1950,24/03/2025,הפלוגות 53,11570-134-3,דירה בבית קומות,3,ראשונה,82,"1,350,000 ₪"
2,"20,857 ₪",1960,24/03/2025,הארזים 5,11571-128-3,דירה בבית קומות,3,ראשונה,70,"1,460,000 ₪"
10,"18,182 ₪",2018,24/03/2025,יפעה 1,10733-122-21,דירה בבית קומות,4.5,שלוש עשרה,143,"2,600,000 ₪"
0,"14,298 ₪",0,24/03/2025,ללא כתובת,11359-81-146,דירה בבית קומות,3,רביעית,84,"1,201,000 ₪"
3,"4,324 ₪",1950,24/03/2025,ברל כצנלסון 29,11200-271-1,דירה בבית קומות,2,ראשונה,37,"160,000 ₪"
5,לא ידוע,2000,24/03/2025,יצחק אלחנן 16,12511-5-13,חניה,לא ידוע,לא ידוע,לא ידוע,"90,000 ₪"
0,"11,618 ₪",0,24/03/2025,ללא כתובת,10861-8-19,דירה בבית קומות,3,רביעית,68,"790,000 ₪"
1,"28,947 ₪",1960,24/03/2025,הפלוגות 33,11563-111-5,דירה בבית קומות,2,קרקע,38,"1,100,000 ₪"
0,"17,188 ₪",0,24/03/2025,ללא כתובת,10810-208-7,דירה בבית קומות,3,שניה,64.41,"1,100,000 ₪"
3,"14,140 ₪",1970,24/03/2025,הראשונים 24,11575-69-8,דירה בבית קומות,4,שלישית,93.1,"1,315,000 ₪"
2,"3,659 ₪",1930,24/03/2025,הס 41,12314-34-6,דירה בבית קומות,3,שניה,82,"300,000 ₪"
8,"22,636 ₪",1980,24/03/2025,הבישוף חג'אר 2,10913-49-24,דירה בבית קומות,4,שביעית,64.5,"1,460,000 ₪"
3,"16,500 ₪",1960,23/03/2025,יד לבנים 128,11720-58-1,דירה בבית קומות,3,קרקע,60,"990,000 ₪"
3,"33,276 ₪",1960,23/03/2025,איתנים 3,10759-82-1,דירה בבית קומות,3,קרקע,58,"1,930,000 ₪"
0,"22,642 ₪",0,23/03/2025,ללא כתובת,11194-461-52,דירה בבית קומות,4,לא ידוע,106,"2,400,000 ₪"
7,"21,786 ₪",2002,23/03/2025,אריה דולצ'ין 4,11212-104-6,דירה בבית קומות,3,ראשונה,70,"1,525,000 ₪"
4,"28,413 ₪",1960,23/03/2025,כרמי 5,11191-19-21,דירה בבית קומות,3,שניה,63.03,"1,790,000 ₪"
5,"22,115 ₪",1970,23/03/2025,שוהם 37,10768-14-6,דירה בבית קומות,4,שלישית,104,"2,300,000 ₪"
4,"21,633 ₪",1960,23/03/2025,"מח""ל 9",11567-624-8,דירה בבית קומות,3,רביעית,49,"1,060,000 ₪"
0,"13,740 ₪",0,23/03/2025,ללא כתובת,10860-204-9,דירה בבית קומות,3,ראשונה,75.35,"1,035,300 ₪"
4,"2,964 ₪",1980,23/03/2025,התיכון 24,12463-6-5,לא ידוע,3,ראשונה,78.6,"233,000 ₪"
1,"32,000 ₪",1966,23/03/2025,הנטקה 12,10783-11-5,דירה בבית קומות,5,שביעית,130,"4,160,000 ₪"
21,"19,136 ₪",1960,23/03/2025,מאירהוף 7,10916-26-50,דירה בבית קומות,4,תשיעית,81.71,"1,550,000 ₪"
11,"16,242 ₪",1990,21/03/2025,אחווה 18,10917-103-6,דירה בבית קומות,3,ראשונה,76.96,"1,250,000 ₪"
3,"26,389 ₪",1960,20/03/2025,שבטי ישראל 58,11539-81-14,דירה בבית קומות,2.5,שניה,36.5,"950,000 ₪"
4,"12,905 ₪",1940,20/03/2025,אלנבי 37,10828-15-17,דירה בבית קומות,3,רביעית,74.28,"955,000 ₪"
2,"30,294 ₪",1950,20/03/2025,אליהו גולומב 35,12316-4-8,דירה בבית קומות,2.5,קרקע,34.47,"1,030,000 ₪"
0,"20,213 ₪",0,20/03/2025,ללא כתובת,10869-24-4,דירה בבית קומות,2.5,ראשונה,47.49,"950,000 ₪"
3,"46,667 ₪",2023,20/03/2025,פיכמן 20,11196-17-24,דירה בבית קומות,3,שלישית,45.5,"2,100,000 ₪"
3,"20,000 ₪",1999,20/03/2025,אלישבע קפלן 32,11582-61-1,דירה בבית קומות,3,קרקע,80.86,"1,600,000 ₪"
0,"18,276 ₪",0,20/03/2025,ללא כתובת,10860-143-15,דירה בבית קומות,2,שלישית,29,"530,000 ₪"
0,"10,000 ₪",0,20/03/2025,ללא כתובת,12504-13-15,דירה בבית קומות,3,חמישית,73.52,"730,000 ₪"
3,"16,502 ₪",1960,20/03/2025,שמשון 23,10767-16-1,דירה בבית קומות,4,ראשונה,101.2,"1,670,000 ₪"
6,"12,259 ₪",1960,20/03/2025,ערד 2,11212-22-28,דירה בבית קומות,3,שביעית,67.3,"825,000 ₪"
0,"11,938 ₪",0,20/03/2025,ללא כתובת,11359-81-147,דירה בבית קומות,3,ראשונה,80,"955,000 ₪"
3,"8,209 ₪",1960,19/03/2025,ברזילי 7,10864-121-7,דירה בבית קומות,3,ראשונה,67,"550,000 ₪"
7,"19,333 ₪",1970,19/03/2025,יהודה בורלא 30,11194-343-16,דירה בבית קומות,3,חמישית,60.9,"1,160,000 ₪"
