קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
4,1999,31/03/2022,בת חן 44,11193-282-4,דירה בבית קומות,4,שניה,88.48,"1,990,000 ₪"
4,1999,22/12/1999,בת חן 44,11193-282-4,דירה בבית קומות,4,שניה,88.48,"1,002,000 ₪"
5,2014,03/03/2022,בת חן 7,11193-337-21,משרד,לא ידוע,קרקע,38.3,"690,000 ₪"
5,2014,07/09/2014,בת חן 7,11193-337-21,משרד,לא ידוע,קרקע,38.3,"600,000 ₪"
5,2014,01/01/2014,בת חן 7,11193-337-21,משרד,לא ידוע,קרקע,38.3,"420,000 ₪"
4,1984,23/02/2022,צופית 9,11193-263-5,דירה בבית קומות,3,שלישית,58.5,"154,000 ₪"
5,2002,10/02/2022,צופית 13,11193-261-4,דירה בבית קומות,6,שלישית וקומת גג,157.31,"2,320,000 ₪"
5,2002,22/02/2012,צופית 13,11193-261-4,דירה בבית קומות,6,שלישית וקומת גג,157.31,"1,500,000 ₪"
2,1999,08/02/2022,דוכיפת 16,11193-298-2,דירה בבית קומות,5,ראשונה,112,"1,960,000 ₪"
3,2000,27/01/2022,צופית 17,11193-259-7,דירת גג,5,רביעית חמישית,113.17,"2,320,000 ₪"
3,2000,07/01/2015,צופית 17,11193-259-7,דירת גג,5,רביעית חמישית,113.17,"2,300,000 ₪"
3,2000,05/09/2000,צופית 17,11193-259-7,דירת גג,5,רביעית חמישית,113.17,"1,126,000 ₪"
4,2008,03/01/2022,דוכיפת 10,11193-295-4,דירת גן,5,ראשונה,139.45,"2,840,000 ₪"
3,2002,19/12/2021,צופית 10,11193-301-7,דירה בבית קומות,5,שלישית ורביעית,112.32,"2,150,000 ₪"
3,2002,07/12/2003,צופית 10,11193-301-7,דירה בבית קומות,5,שלישית ורביעית,112.32,"1,132,000 ₪"
4,2008,05/12/2021,דוכיפת 10,11193-295-8,דירה בבית קומות,4,שלישית,88.1,"1,840,000 ₪"
3,2002,25/11/2021,צופית 11,11193-262-3,דירה בבית קומות,5,שניה,107.14,"1,800,000 ₪"
3,2002,04/07/2003,צופית 11,11193-262-3,דירה בבית קומות,5,שניה,107.14,"1,006,000 ₪"
4,2010,04/11/2021,בת חן 28,11193-272-2,דירה בבית קומות,5,קרקע,101.67,"2,350,000 ₪"
4,2010,30/05/2011,בת חן 28,11193-272-2,דירה בבית קומות,5,קרקע,101.67,"2,050,000 ₪"
3,2002,28/10/2021,דוכיפת 15,11193-344-7,דירה בבית קומות,6,שלישית ורביעית,116.5,"2,050,000 ₪"
3,2002,30/06/2003,דוכיפת 15,11193-344-7,דירה בבית קומות,6,שלישית ורביעית,116.5,"1,050,000 ₪"
3,2000,21/10/2021,בת חן 4,11193-300-3,דירת גן,5,רביעית,114,"1,900,000 ₪"
3,2002,17/10/2021,דוכיפת 14,11193-297-3,דירה בבית קומות,4,ראשונה,83.25,"1,750,000 ₪"
5,2014,12/10/2021,בת חן 7,11193-337-2,דירה בבית קומות,5,ראשונה,125.7,"2,820,000 ₪"
5,2014,25/08/2014,בת חן 7,11193-337-2,דירה בבית קומות,5,ראשונה,125.7,"2,200,000 ₪"
2,2000,01/10/2021,דוכיפת 4,11193-292-6,דירה בבית קומות,4,שלישית ורביעית,105.8,"1,780,000 ₪"
2,2000,27/07/2014,דוכיפת 4,11193-292-6,דירה בבית קומות,4,שלישית ורביעית,105.8,"1,655,000 ₪"
2,2000,22/07/2009,דוכיפת 4,11193-292-6,דירה בבית קומות,4,שלישית ורביעית,105.8,"1,400,000 ₪"
3,2000,14/09/2021,דוכיפת 11,11193-344-23,דירה בבית קומות,5,שלישית ורביעית,116.2,"1,750,000 ₪"
3,2000,29/06/2000,דוכיפת 11,11193-344-23,דירה בבית קומות,5,שלישית ורביעית,116.2,"1,183,000 ₪"
6,2001,02/08/2021,צופית 22,11193-258-7,דירה בבית קומות,4,קומה 2,72.3,"1,340,000 ₪"
4,2002,11/07/2021,דוכיפת 3,11193-339-1,דירת גן,5,קרקע,127.67,"2,250,000 ₪"
4,2002,05/12/2007,דוכיפת 3,11193-339-1,דירת גן,5,קרקע,127.67,"1,449,000 ₪"
4,2007,24/06/2021,דוכיפת 8,11193-294-4,דירה בבית קומות,4,שניה,87.1,"1,800,000 ₪"
4,2007,22/04/2008,דוכיפת 8,11193-294-4,דירה בבית קומות,4,שניה,87.1,"850,000 ₪"
3,2002,13/06/2021,דוכיפת 14,11193-297-6,דירה בבית קומות,3,שניה,77.61,"1,560,000 ₪"
3,2002,24/09/2002,דוכיפת 14,11193-297-6,דירה בבית קומות,3,שניה,77.61,"840,000 ₪"
5,2002,10/06/2021,צופית 13,11193-261-1,דירה בבית קומות,5,קרקע,98.96,"1,980,000 ₪"
5,2002,22/05/2009,צופית 13,11193-261-1,דירה בבית קומות,5,קרקע,98.96,"1,250,000 ₪"
6,2001,27/05/2021,צופית 22,11193-258-1,דירה בבית קומות,3,קומה 1,87.3,"1,300,000 ₪"
3,2013,20/05/2021,בת חן 36,11193-276-7,דירה בבית קומות,5,ראשונה,120,"1,940,000 ₪"
3,2013,29/05/2013,בת חן 36,11193-276-7,דירה בבית קומות,5,ראשונה,120,"2,030,000 ₪"
3,1999,06/05/2021,בת חן 17,11193-316-3,דירה בבית קומות,5,שניה,109.17,"2,036,000 ₪"
3,1999,24/10/1999,בת חן 17,11193-316-3,דירה בבית קומות,5,שניה,109.17,"854,000 ₪"
3,2000,01/03/2021,דוכיפת 13,11193-344-10,דירה בבית קומות,4,קרקע,94.7,"1,650,000 ₪"
