קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
2,1997,23/09/2024,משה סורוקה 49,10796-149-10,דירה בבית קומות,4,ראשונה,113.16,"2,300,000 ₪"
2,1997,24/08/2007,משה סורוקה 49,10796-149-10,דירה בבית קומות,4,ראשונה,113.16,"1,060,000 ₪"
3,1970,11/09/2024,אידר 44,10795-2-2,דירה בבית קומות,3,ראשונה,92.2,"450,000 ₪"
3,1970,10/08/2023,אידר 44,10795-2-2,דירה בבית קומות,3,ראשונה,92.2,"225,000 ₪"
3,1970,11/09/2024,ליונל ווטסון 3,10797-50-2,דירה בבית קומות,2,קרקע,29,"1,360,000 ₪"
0,0,02/09/2024,ללא כתובת,10682-65-2,קרקע למגורים,לא ידוע,לא ידוע,1052,"1,650,000 ₪"
0,0,27/08/2024,ללא כתובת,10682-65-1,ללא תיכנון,לא ידוע,לא ידוע,1052,"1,650,000 ₪"
4,1980,22/08/2024,הרב אסף דוד 10,10796-72-3,דירה בבית קומות,5,שניה שלישית רביעית,129.29,"3,500,000 ₪"
4,1980,10/05/2007,הרב אסף דוד 10,10796-72-3,דירה בבית קומות,5,שניה שלישית רביעית,129.29,"1,045,000 ₪"
3,1970,14/08/2024,משה סורוקה 25,10797-68-6,דירה בבית קומות,4,שלישית,92,"1,665,000 ₪"
3,1970,21/03/2011,משה סורוקה 25,10797-68-6,דירה בבית קומות,4,שלישית,92,"1,165,000 ₪"
3,1970,24/07/2024,שימקין 7,10797-17-1,דירה בבית קומות,3,קרקע,52.24,"1,550,000 ₪"
3,1970,24/07/2016,שימקין 7,10797-17-1,דירה בבית קומות,3,קרקע,52.24,"1,040,000 ₪"
21,1980,17/07/2024,היסמין 2,10796-157-80,דירה בבית קומות,4,עשירית,101.63,"1,868,600 ₪"
21,1980,04/09/2002,היסמין 2,10796-157-80,דירה בבית קומות,4,עשירית,101.63,"920,000 ₪"
0,0,12/07/2024,ללא כתובת,10680-41-2,מגורים,לא ידוע,לא ידוע,382,"950,000 ₪"
3,1970,02/07/2024,ליונל ווטסון 4,10797-41-3,דירה בבית קומות,4.5,שניה,90.1,"2,150,000 ₪"
3,1970,19/03/2017,ליונל ווטסון 4,10797-41-3,דירה בבית קומות,4.5,שניה,90.1,"1,620,000 ₪"
0,0,30/06/2024,ללא כתובת,10680-18-2,קרקע למגורים,לא ידוע,לא ידוע,1057,"1,096,000 ₪"
4,1982,24/06/2024,שימקין 3,10797-149-2,דירה בבית קומות,4,ראשונה,96.09,"1,780,000 ₪"
3,1997,21/06/2024,בני ברית 6,10796-98-3,דירה בבית קומות,5,"מרתף,קרקע,ראשנה,שניה",187,"3,200,000 ₪"
3,1997,11/09/2001,בני ברית 6,10796-98-3,דירה בבית קומות,5,"מרתף,קרקע,ראשנה,שניה",187,"1,064,000 ₪"
2,2023,19/06/2024,ליונל ווטסון 11,10797-54-3,דירה בבית קומות,3,שניה,88.7,"2,280,000 ₪"
2,1970,13/06/2024,משה סורוקה 11,10797-61-5,דירה בבית קומות,4,שניה,91.7,"2,100,000 ₪"
3,1970,09/06/2024,ליונל ווטסון 4,10797-41-15,דירה בבית קומות,4,שניה,100.2,"2,300,000 ₪"
3,1970,24/11/2002,ליונל ווטסון 4,10797-41-15,דירה בבית קומות,4,שניה,100.2,"650,000 ₪"
1,1980,30/05/2024,אורי צבי גרינברג 19,10796-88-3,דירה בבית קומות,5,ראשונה ושניה,137.2,"3,200,000 ₪"
2,1980,23/05/2024,אידר 48,10795-4-4,דירה בבית קומות,4,שלישית,110,"1,500,000 ₪"
21,1980,12/05/2024,היסמין 2,10796-157-55,דירה בבית קומות,4,רביעית,109.26,"1,820,000 ₪"
21,1980,19/01/2015,היסמין 2,10796-157-55,דירה בבית קומות,4,רביעית,109.26,"1,460,000 ₪"
21,1980,09/07/2004,היסמין 2,10796-157-55,דירה בבית קומות,4,רביעית,109.26,"716,000 ₪"
3,1970,08/05/2024,ליונל ווטסון 3,10797-50-8,דירה בבית קומות,5,קומה 0,130,"3,100,000 ₪"
3,1970,14/04/2024,משה סורוקה 27,10797-69-4,דירה בבית קומות,4,שניה,89.91,"2,350,000 ₪"
3,1970,13/09/2021,משה סורוקה 27,10797-69-4,דירה בבית קומות,4,שניה,89.91,"1,316,000 ₪"
3,1973,08/04/2024,שימקין 29,10797-31-5,דירה בבית קומות,3,שניה,85.8,"1,535,000 ₪"
0,0,03/04/2024,ללא כתובת,10681-5-2,קרקע למגורים,לא ידוע,לא ידוע,64,"440,000 ₪"
3,1970,31/03/2024,משה סורוקה 25,10797-68-2,דירה בבית קומות,4,ראשונה,90.6,"1,770,000 ₪"
0,0,29/03/2024,ללא כתובת,10682-74-3,קרקע למגורים,לא ידוע,לא ידוע,111,"500,000 ₪"
4,1990,19/03/2024,שימקין 9,10797-18-2,דירה בבית קומות,5.5,"קרקע,ראשו,שניה,שלישי",171.99,"3,700,000 ₪"
3,1978,18/03/2024,שימקין 34,10797-79-6,דירה בבית קומות,4,שלישית,93.12,"1,450,000 ₪"
3,1978,31/01/2008,שימקין 34,10797-79-6,דירה בבית קומות,4,שלישית,93.12,"680,000 ₪"
3,1978,18/04/2001,שימקין 34,10797-79-6,דירה בבית קומות,4,שלישית,93.12,"817,000 ₪"
2,2023,13/03/2024,ליונל ווטסון 11,10797-54-4,דירה בבית קומות,5,שניה,88,"3,500,000 ₪"
4,1960,03/03/2024,ליונל ווטסון 9,10797-53-11,דירה בבית קומות,6,קומה 0,138,"3,250,000 ₪"
3,1970,27/02/2024,משה סורוקה 8,10797-58-7,דירה בבית קומות,4,שלישית,90.9,"1,875,000 ₪"
4,1950,05/02/2024,חורב 64,10785-86-1,דירה בבית קומות,4,קרקע,81,"1,955,000 ₪"
4,1950,22/11/2004,חורב 64,10785-86-1,דירה בבית קומות,4,קרקע,81,"711,000 ₪"
21,1980,04/02/2024,היסמין 2,10796-157-67,דירה בבית קומות,4,שביעית,110.42,"1,700,000 ₪"
3,2023,01/02/2024,ליונל ווטסון 11,10797-54-9,דירה בבית קומות,5,שלישית,87.4,"3,400,000 ₪"
3,2023,06/09/2023,ליונל ווטסון 11,10797-54-9,דירה בבית קומות,5,שלישית,87.4,"13,051,000 ₪"
3,1970,30/01/2024,אידר 47,10797-103-4,דירה בבית קומות,4,שניה,89.9,"1,780,000 ₪"
3,1970,07/11/2018,אידר 47,10797-103-4,דירה בבית קומות,4,שניה,89.9,"1,372,000 ₪"
4,1980,26/01/2024,הרב אסף דוד 10,10796-72-8,דירה בבית קומות,6,קרקע מפולשת,146.02,"3,100,000 ₪"
4,1980,23/08/1998,הרב אסף דוד 10,10796-72-8,דירה בבית קומות,6,קרקע מפולשת,146.02,"1,133,000 ₪"
6,1980,18/01/2024,ליונל ווטסון 12,10797-37-3,דירה בבית קומות,5,שניה,99.5,"2,830,000 ₪"
6,1980,03/05/2010,ליונל ווטסון 12,10797-37-3,דירה בבית קומות,5,שניה,99.5,"2,100,000 ₪"
6,1980,01/06/2003,ליונל ווטסון 12,10797-37-3,דירה בבית קומות,5,שניה,99.5,"1,395,000 ₪"
4,1980,17/01/2024,משה סורוקה 19,10797-65-3,דירה בבית קומות,6,שניה,158.7,"3,600,000 ₪"
4,1980,08/12/2011,משה סורוקה 19,10797-65-3,דירה בבית קומות,6,שניה,158.7,"1,985,000 ₪"
3,1970,17/01/2024,אידר 47,10797-103-3,דירה בבית קומות,4,שניה,92.85,"1,850,000 ₪"
21,1980,18/12/2023,היסמין 2,10796-157-84,דירה בבית קומות,4,אחת עשרה,96.94,"1,835,000 ₪"
21,1980,19/05/1999,היסמין 2,10796-157-84,דירה בבית קומות,4,אחת עשרה,96.94,"879,000 ₪"
3,1984,13/12/2023,אידר 60,10797-158-3,דירה בבית קומות,4,ראשונה,84.9,"2,138,000 ₪"
3,1984,23/06/2013,אידר 60,10797-158-3,דירה בבית קומות,4,ראשונה,84.9,"1,500,000 ₪"
3,1984,15/05/2006,אידר 60,10797-158-3,דירה בבית קומות,4,ראשונה,84.9,"930,000 ₪"
3,1970,23/11/2023,אידר 44,10795-2-9,דירה בבית קומות,4,ראשונה,92.8,"1,730,000 ₪"
3,1970,20/09/2018,אידר 44,10795-2-9,דירה בבית קומות,4,ראשונה,92.8,"1,570,000 ₪"
4,1960,21/11/2023,ליונל ווטסון 9,10797-53-1,דירה בבית קומות,5,ראשונה,98.5,"2,200,000 ₪"
4,1960,02/07/2015,ליונל ווטסון 9,10797-53-1,דירה בבית קומות,5,ראשונה,98.5,"1,765,000 ₪"
3,1982,06/11/2023,אידר 56,10797-156-5,דירה בבית קומות,4,שניה,88.2,"1,660,000 ₪"
0,0,28/09/2023,ללא כתובת,10680-94-1,קרקע למגורים,לא ידוע,לא ידוע,1005,"1,955,000 ₪"
4,1995,27/09/2023,שימקין 5,10797-15-5,דירה בבית קומות,5,שלישית,110.9,"2,120,000 ₪"
4,1995,25/11/2009,שימקין 5,10797-15-5,דירה בבית קומות,5,שלישית,110.9,"1,446,000 ₪"
4,1980,22/09/2023,שימקין 1,10797-149-27,דירה בבית קומות,4,רביעית,97.79,"2,080,000 ₪"
