קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
3,1998,04/11/2010,התשבי 19,11718-14-9,דירה בבית קומות,4,"חמישית, שישית",115.95,"1,600,000 ₪"
1,1939,24/05/2022,עובדיה 12,11719-20-2,קומבינציה,לא ידוע,לא ידוע,1098,"7,000,000 ₪"
1,1939,24/05/2022,עובדיה 12,11719-20-1,קוטג' חד משפחתי,7,ראשונה,250,"4,750,000 ₪"
2,1960,19/05/2022,שונמית 3,11114-12-4,דירה בבית קומות,4,שניה,67.6,"1,350,000 ₪"
8,2021,15/05/2022,הנשיא 74,11713-5-10,דירת גן,4,קומה 3,130,"3,400,000 ₪"
3,1960,15/05/2022,התשבי 13,11718-6-6,דירה בבית קומות,3,שניה,71.5,"1,140,000 ₪"
3,1960,05/10/2020,התשבי 13,11718-6-6,דירה בבית קומות,3,שניה,71.5,"950,000 ₪"
3,1960,19/11/2013,התשבי 13,11718-6-6,דירה בבית קומות,3,שניה,71.5,"887,000 ₪"
3,1960,12/09/2003,התשבי 13,11718-6-6,דירה בבית קומות,3,שניה,71.5,"616,000 ₪"
1,1950,11/05/2022,התשבי 69,11686-29-7,דירת גן,3,ראשונה,70,"1,730,000 ₪"
2,1960,10/05/2022,שונמית 11,11114-5-4,דירה בבית קומות,3,ראשונה,72.5,"1,380,000 ₪"
3,1960,10/05/2022,שונמית 12,12595-4-2,דירה בבית קומות,3,שניה,57,"1,100,000 ₪"
3,1960,21/03/2012,שונמית 12,12595-4-2,דירה בבית קומות,3,שניה,57,"770,000 ₪"
3,1960,10/05/2022,שונמית 6,12595-7-12,דירה בבית קומות,3,שלישית,58.77,"1,150,000 ₪"
3,1960,29/05/2015,שונמית 6,12595-7-12,דירה בבית קומות,3,שלישית,58.77,"920,000 ₪"
3,1960,16/07/2008,שונמית 6,12595-7-12,דירה בבית קומות,3,שלישית,58.77,"420,000 ₪"
1,2020,08/05/2022,עין גדי 3,11691-13-11,דירה בבית קומות,4,רביעית,98,"3,280,000 ₪"
0,0,04/05/2022,ללא כתובת,10812-21-29,דירה בבית קומות,4,-,90.75,"1,635,000 ₪"
4,1960,03/05/2022,יפה נוף 8,11685-5-13,דירה בבית קומות,4,ראשונה,62.25,"1,625,000 ₪"
