קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
3,1970,18/10/2007,טשרניחובסקי 51,10804-26-3,דירה בבית קומות,5,ראשונה,130.63,"925,000 ₪"
16,1980,01/10/2007,קאודרס 3,10804-74-47,דירה בבית קומות,4,שלישית,101.52,"642,000 ₪"
16,1980,03/07/2000,קאודרס 3,10804-74-47,דירה בבית קומות,4,שלישית,101.52,"976,000 ₪"
3,1970,25/09/2007,טשרניחובסקי 47,10804-24-6,דירה בבית קומות,3,שלישית,88.9,"544,000 ₪"
3,1970,19/12/2001,טשרניחובסקי 47,10804-24-6,דירה בבית קומות,3,שלישית,88.9,"873,000 ₪"
4,1960,10/09/2007,אדמונד פלג 48,10804-5-17,דירה בבית קומות,4,ראשונה,66.33,"480,000 ₪"
7,1970,30/08/2007,טשרניחובסקי 65,10804-89-8,דירה בבית קומות,3,שלישית,60.5,"511,000 ₪"
2,1989,08/08/2007,סטפן וייז 27,10804-71-3,דירה בבית קומות,5,שניה,129.2,"1,500,000 ₪"
2,1989,18/05/2004,סטפן וייז 27,10804-71-3,דירה בבית קומות,5,שניה,129.2,"1,381,000 ₪"
5,1980,29/07/2007,קאודרס 2,10804-63-1,דירה בבית קומות,4,ראשונה,113.35,"1,080,000 ₪"
5,1970,29/07/2007,טשרניחובסקי 59,10804-87-26,דירה בבית קומות,4,שניה,67.1,"548,000 ₪"
5,1970,28/11/2003,טשרניחובסקי 59,10804-87-26,דירה בבית קומות,4,שניה,67.1,"578,000 ₪"
4,1960,15/07/2007,אדמונד פלג 28,10804-3-2,דירה בבית קומות,3,ראשונה,50.33,"400,000 ₪"
2,2005,15/06/2007,אביגדור המאירי 10,10802-170-6,דירה בבית קומות,5,שניה,111.4,"1,360,000 ₪"
17,2006,27/05/2007,טשרניחובסקי 43,10804-76-37,דירה בבית קומות,4,קומה 10,101.5,"1,311,000 ₪"
4,1960,20/05/2007,אדמונד פלג 28,10804-3-21,דירה בבית קומות,3.5,שלישית,66.33,"504,000 ₪"
16,1980,18/04/2007,קאודרס 3,10804-74-109,דירה בבית קומות,4,שישית,101.5,"850,000 ₪"
5,1970,29/01/2007,טשרניחובסקי 59,10804-87-19,דירה בבית קומות,4,קרקע,67.1,"381,000 ₪"
4,1960,17/01/2007,אדמונד פלג 52,10804-6-16,דירה בבית קומות,4,שניה,66.33,"465,000 ₪"
7,1970,15/12/2006,טשרניחובסקי 65,10804-89-5,דירה בבית קומות,3,שניה,60.5,"447,000 ₪"
2,1950,14/11/2006,אמיל זולא 20,10803-23-29,דירה בבית קומות,2,ראשונה,50,"343,000 ₪"
3,1960,16/10/2006,אמיל זולא 28,10803-22-20,דירה בבית קומות,2,קרקע,50,"531,000 ₪"
11,1987,16/10/2006,סטפן וייז 19,10804-40-11,דירה בבית קומות,5,רביעית,113.51,"1,202,000 ₪"
10,1980,17/09/2006,קאודרס 17,10804-52-9,דירה בבית קומות,4,שניה,108.53,"655,000 ₪"
4,1960,11/09/2006,אדמונד פלג 28,10804-3-39,דירה בבית קומות,4,רביעית,66.33,"439,000 ₪"
4,1960,15/05/2002,אדמונד פלג 28,10804-3-39,דירה בבית קומות,4,רביעית,66.33,"446,000 ₪"
4,1960,25/08/2006,אדמונד פלג 36,10804-4-5,דירה בבית קומות,3,שלישית,54.89,"516,000 ₪"
4,1960,08/06/2006,אדמונד פלג 36,10804-4-5,דירה בבית קומות,3,שלישית,54.89,"357,000 ₪"
16,1980,12/07/2006,קאודרס 3,10804-74-68,דירה בבית קומות,4,שישית,93.33,"775,000 ₪"
2,1950,22/06/2006,כל ישראל חברים 7,10803-12-19,דירה בבית קומות,3,שניה,50,"406,000 ₪"
7,1970,15/06/2006,טשרניחובסקי 65,10804-89-22,דירה בבית קומות,3,שביעית,60.5,"426,000 ₪"
2,1960,05/05/2006,טשרניחובסקי 69,10804-102-7,חנות,לא ידוע,שניה,31.8,"156,000 ₪"
2,1990,25/04/2006,המאירי אביגדור 2,10802-175-5,דירה בבית קומות,5,ראשונה,110,"1,163,000 ₪"
7,1970,06/04/2006,טשרניחובסקי 65,10804-89-23,דירה בבית קומות,3,ראשונה,60.5,"551,000 ₪"
7,1970,24/10/2001,טשרניחובסקי 65,10804-89-23,דירה בבית קומות,3,ראשונה,60.5,"560,000 ₪"
7,1970,19/03/2006,טשרניחובסקי 61,10804-88-31,דירה בבית קומות,3,רביעית,73.97,"517,000 ₪"
16,1980,16/03/2006,קאודרס 3,10804-74-96,דירה בבית קומות,4,שלישית,101.68,"868,000 ₪"
16,1980,29/07/1999,קאודרס 3,10804-74-96,דירה בבית קומות,4,שלישית,101.68,"896,000 ₪"
2,1950,28/02/2006,אמיל זולא 20,10803-23-33,דירה בבית קומות,2,שניה,50,"310,000 ₪"
4,1960,19/02/2006,אדמונד פלג 58,10804-6-7,דירה בבית קומות,3,שניה,50.38,"469,000 ₪"
4,1960,19/02/2006,אדמונד פלג 42,10804-5-34,דירה בבית קומות,4,ראשונה,66.33,"461,000 ₪"
2,1950,10/01/2006,כל ישראל חברים 21,10803-11-5,דירה בבית קומות,2,קרקע,50,"453,000 ₪"
11,1987,14/12/2005,סטפן וייז 19,10804-40-16,דירה בבית קומות,4,חמישית,107.62,"917,000 ₪"
3,1960,03/11/2005,אמיל זולא 28,10803-22-24,דירה בבית קומות,3,קרקע,56,"513,000 ₪"
6,1960,26/09/2005,אדמונד פלג 10,10804-97-18,דירה בבית קומות,3,שניה,75.62,"578,000 ₪"
6,1960,07/11/2000,אדמונד פלג 10,10804-97-18,דירה בבית קומות,3,שניה,75.62,"451,000 ₪"
4,1970,15/09/2005,טשרניחובסקי 45,10804-23-2,דירה בבית קומות,4,ראשונה,98.91,"810,000 ₪"
