קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר
2,1950,15/08/2015,"אד""ם הכהן 11",11201-200-17,דירה בבית קומות,3,שניה,56.75,"890,000 ₪"
2,1960,06/08/2015,דוד 2,10885-87-5,דירה בבית קומות,3.5,ראשונה,57.2,"1,112,000 ₪"
2,1960,25/10/2011,דוד 2,10885-87-5,דירה בבית קומות,3.5,ראשונה,57.2,"640,000 ₪"
2,1970,02/08/2015,טרומפלדור 33,10885-92-4,דירה בבית קומות,3,שניה,60.2,"1,120,000 ₪"
3,1950,27/07/2015,ברל כצנלסון 40,11200-272-15,דירה בבית קומות,2,שניה,37,"100,000 ₪"
3,1993,16/07/2015,פינסקר 59,11201-57-4,דירה בבית קומות,4,שניה,121.42,"1,310,000 ₪"
0,1958,30/06/2015,ברל כצנלסון 47,11200-268-64,דירה בבית קומות,2.5,לא ידוע,50,"500,000 ₪"
0,0,23/06/2015,ללא כתובת,11201-196-115,דירה בבית קומות,2,ראשונה,53,"770,000 ₪"
4,1970,23/06/2015,פינסקר 53,11201-227-6,דירה בבית קומות,4,שניה,104.91,"1,150,000 ₪"
4,1970,28/07/2009,פינסקר 53,11201-227-6,דירה בבית קומות,4,שניה,104.91,"750,000 ₪"
4,1970,24/06/1998,פינסקר 53,11201-227-6,דירה בבית קומות,4,שניה,104.91,"599,000 ₪"
0,0,15/06/2015,ללא כתובת,11201-196-120,דירה בבית קומות,1,שניה,21,"559,000 ₪"
3,1950,14/06/2015,ברל כצנלסון 19,11200-274-3,דירה בבית קומות,2,שניה,49.5,"832,000 ₪"
2,1960,04/06/2015,פינסקר 36,10885-101-4,דירה בבית קומות,4,שניה,85,"1,360,000 ₪"
2,1960,05/01/2009,פינסקר 36,10885-101-4,דירה בבית קומות,4,שניה,85,"85,000 ₪"
0,0,02/06/2015,ללא כתובת,11201-196-121,דירה בבית קומות,2,שלישית,53,"849,000 ₪"
0,0,28/05/2015,ללא כתובת,11201-196-122,דירה בבית קומות,3,שניה,32,"740,000 ₪"
2,1950,13/05/2015,גלבוע 12,10885-86-7,דירה בבית קומות,5,שניה,115,"1,740,000 ₪"
2,1950,12/07/2005,גלבוע 12,10885-86-7,דירה בבית קומות,5,שניה,115,"500,000 ₪"
2,1960,07/05/2015,שמחה גולן 30,10881-51-120,דירה בבית קומות,3.5,ראשונה,81.4,"1,175,000 ₪"
2,1960,19/09/2004,שמחה גולן 30,10881-51-120,דירה בבית קומות,3.5,ראשונה,81.4,"671,000 ₪"
2,1970,06/05/2015,טרומפלדור 33,10885-92-2,דירה בבית קומות,3,ראשונה,60.2,"980,000 ₪"
2,1970,10/07/2012,טרומפלדור 33,10885-92-2,דירה בבית קומות,3,ראשונה,60.2,"190,000 ₪"
0,0,21/04/2015,ללא כתובת,11201-196-123,דירה בבית קומות,2,ראשונה,50,"729,000 ₪"
2,1960,16/04/2015,שמחה גולן 28,10881-51-127,דירה בבית קומות,3,ראשונה,74.77,"1,045,000 ₪"
2,1960,14/01/2014,שמחה גולן 28,10881-51-127,דירה בבית קומות,3,ראשונה,74.77,"1,000,000 ₪"
1,1950,14/04/2015,גלבוע 20,10885-95-2,דירה בבית קומות,3,קרקע,37.6,"930,000 ₪"
0,0,02/04/2015,ללא כתובת,11201-196-124,דירה בבית קומות,1.5,שלישית,33,"810,000 ₪"
3,1960,01/04/2015,ברל כצנלסון 20,11200-281-21,דירה בבית קומות,2,שניה,37,"755,000 ₪"
0,0,26/03/2015,ללא כתובת,11201-196-125,דירה בבית קומות,2,ראשונה,40,"836,000 ₪"
0,0,24/03/2015,ללא כתובת,11201-196-126,משרד,לא ידוע,ראשונה,25,"138,000 ₪"
0,0,22/03/2015,ללא כתובת,11201-196-127,דירה בבית קומות,2,ראשונה,44,"730,000 ₪"
2,1940,17/03/2015,טרומפלדור 29,10885-90-3,דירה בבית קומות,3,ראשונה,70,"1,300,000 ₪"
3,1960,11/03/2015,"אז""ר 15",11200-269-21,דירה בבית קומות,2,שניה,37,"715,000 ₪"
3,1950,25/02/2015,ברל כצנלסון 40,11200-272-19,דירה בבית קומות,2,ראשונה,37,"850,000 ₪"
3,1950,15/08/2007,ברל כצנלסון 40,11200-272-19,דירה בבית קומות,2,ראשונה,37,"417,000 ₪"
3,1950,26/02/2001,ברל כצנלסון 40,11200-272-19,דירה בבית קומות,2,ראשונה,37,"404,000 ₪"
0,0,10/02/2015,ללא כתובת,11201-196-128,דירה בבית קומות,2,שניה,44,"865,000 ₪"
1,1950,06/02/2015,פרוג 10,10885-13-5,דירה בבית קומות,4.5,לא ידוע,100,"1,900,000 ₪"
3,1960,01/02/2015,"אז""ר 15",11200-269-12,דירה בבית קומות,2,שלישית,37,"690,000 ₪"
3,1960,18/10/2013,"אז""ר 15",11200-269-12,דירה בבית קומות,2,שלישית,37,"660,000 ₪"
1,1950,28/01/2015,גלבוע 34,11201-9-8,דירה בבית קומות,2,ראשונה,38.45,"700,000 ₪"
0,0,28/01/2015,ללא כתובת,11201-196-129,דירה בבית קומות,2,שלישית,44,"750,000 ₪"
1,1950,28/01/2015,גלבוע 34,11201-9-10,דירה בבית קומות,3,ראשונה,75.24,"650,000 ₪"
0,0,15/01/2015,ללא כתובת,11201-196-130,דירה בבית קומות,2,שניה,40,"850,000 ₪"
2,1970,12/01/2015,טרומפלדור 33,10885-92-5,דירה בבית קומות,3,שניה,55.6,"940,000 ₪"
0,0,04/01/2015,ללא כתובת,11201-196-131,דירה בבית קומות,1.5,ראשונה,56,"550,000 ₪"
1,1995,02/01/2015,בן ארצי 9,11200-237-1,דירה בבית קומות,6,ראשונה,332,"4,220,000 ₪"
0,0,15/12/2014,ללא כתובת,11201-196-132,דירה בבית קומות,2,ראשונה,43,"749,000 ₪"
0,0,19/11/2014,ללא כתובת,11201-196-133,דירה בבית קומות,2,ראשונה,50,"829,000 ₪"
3,1956,13/11/2014,אזר 7,11200-276-3,דירה בבית קומות,2,שניה,49.5,"759,000 ₪"
3,1956,11/11/2014,אזר 7,11200-276-11,דירה בבית קומות,2.5,שלישית,49.5,"790,000 ₪"
3,1956,11/01/2010,אזר 7,11200-276-11,דירה בבית קומות,2.5,שלישית,49.5,"500,000 ₪"
3,1950,04/11/2014,ברל כצנלסון 29,11200-271-21,דירה בבית קומות,2,שניה,37,"600,000 ₪"
3,1950,27/10/2009,ברל כצנלסון 29,11200-271-21,דירה בבית קומות,2,שניה,37,"455,000 ₪"
3,1950,06/10/2014,ברל כצנלסון 34,11200-273-3,דירה בבית קומות,2.5,שניה,49.5,"750,000 ₪"
2,1950,30/09/2014,גלבוע 12,10885-86-13,דירה בבית קומות,7,רביעית,158,"2,020,000 ₪"
0,1980,02/09/2014,ברל כצנלסון 55,11200-267-90,דירה בבית קומות,3,שלישית,50,"899,000 ₪"
2,1950,01/09/2014,"אז""ר 12",11200-275-14,דירה בבית קומות,3,קרקע,51,"750,000 ₪"
3,1956,19/08/2014,אזר 7,11200-276-9,דירה בבית קומות,2.5,שניה,49.5,"755,000 ₪"
3,1956,10/09/1999,אזר 7,11200-276-9,דירה בבית קומות,2.5,שניה,49.5,"452,000 ₪"
0,1950,17/08/2014,ברל כצנלסון 47,11200-268-65,דירה בבית קומות,2,שלישית,50,"900,000 ₪"
0,0,03/08/2014,ללא כתובת,11201-196-134,דירה בבית קומות,2,שלישית,50,"725,000 ₪"
