קומות במבנה,שנת בנייה,תאריך עסקה,כתובת,גוש/חלקה/תת-חלקה,סוג נכס,חדרים,קומה,"מ""ר",מחיר,שכונה,ריבית בנק ישראל
5.0,2001.0,2019-06-11,הצוללת דקר 14,11192-370-24,דירה בבית קומות,4,שלישית,90.5,"1,590,000 ₪",רמת בן גוריון,0.01
5.0,2001.0,2011-12-15,הצוללת דקר 14,11192-370-24,דירה בבית קומות,4,שלישית,90.5,"1,220,000 ₪",רמת בן גוריון,0.03
16.0,1970.0,2019-06-07,אורן 29,11192-316-53,דירה בבית קומות,3,אחת עשרה,62.25,"490,000 ₪",רמת בן גוריון,0.01
7.0,1970.0,2019-05-29,הנטקה 43,11192-269-2,דירה בבית קומות,3,קרקע,80.06,"1,300,000 ₪",רמת בן גוריון,0.01
7.0,1970.0,2000-03-23,הנטקה 43,11192-269-2,דירה בבית קומות,3,קרקע,80.06,"567,000 ₪",רמת בן גוריון,0.07
14.0,1970.0,2019-05-27,הפרחים 3,11192-273-53,דירה בבית קומות,3,אחת עשרה,54,"900,000 ₪",רמת בן גוריון,0.01
6.0,1960.0,2019-05-12,אורן 13,11192-241-13,דירה בבית קומות,4,קרקע,77,"1,290,000 ₪",רמת בן גוריון,0.01
6.0,1960.0,2007-04-22,אורן 13,11192-241-13,דירה בבית קומות,4,קרקע,77,"516,000 ₪",רמת בן גוריון,0.07
0.0,1989.0,2019-05-02,"זלמן שז""ר 9",11192-147-3,דירה בבית קומות,5,קרקע+ראשונה+שניה+,131.17,"1,630,000 ₪",רמת בן גוריון,0.01
16.0,1970.0,2019-04-15,אורן 29,11192-316-57,דירה בבית קומות,3,אחת עשרה,56.75,"990,000 ₪",רמת בן גוריון,0.01
16.0,1970.0,2006-09-29,אורן 29,11192-316-57,דירה בבית קומות,3,אחת עשרה,56.75,"479,000 ₪",רמת בן גוריון,0.07
16.0,1970.0,2000-07-28,אורן 29,11192-316-57,דירה בבית קומות,3,אחת עשרה,56.75,"531,000 ₪",רמת בן גוריון,0.07
3.0,1981.0,2019-04-08,"זלמן שז""ר 18",11192-160-2,דירה בבית קומות,4,ראשונה,93,"1,750,000 ₪",רמת בן גוריון,0.01
4.0,1960.0,2019-04-02,שקמה 12,11192-251-4,דירה בבית קומות,3,ראשונה,77,"1,250,000 ₪",רמת בן גוריון,0.01
